# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       4    -0.00062     0.00062     0.00062    6.473529216    5.140577892   -1.332951324
     1       4    -0.15462     0.15462    -0.15338    5.700106280    4.353005517   -1.347100764
     1       4    -0.30862     0.30862    -0.30738    5.252715370    3.843667109   -1.409048261
     1       4     0.15338    -0.15338     0.15462    5.702310589    4.353056014   -1.349254575
     1       4     0.15338     0.15462     0.15462    5.700106097    4.352220555   -1.347885542
     1       4    -0.00062     0.30862     0.00062    4.535073473    3.115454287   -1.419619185
     1       4    -0.15462     0.46261    -0.15338    4.218779756    2.746298352   -1.472481404
     1       4     0.30738     0.00062     0.30862    5.118265829    3.721312184   -1.396953645
     1       4     0.30738     0.30862     0.30862    5.252715233    3.843895436   -1.408819796
     1       4     0.15338     0.46261     0.15462    4.218779763    2.746165956   -1.472613807
     1       4    -0.00062     0.61661     0.00062    3.560512535    2.013398090   -1.547114445
     1       4    -0.15462    -0.46138    -0.15338    4.222320627    2.746899235   -1.475421392
     1       4    -0.15462    -0.15338    -0.15338    5.702310520    4.351412326   -1.350898194
     1       4    -0.30862     0.00062    -0.30738    5.118265829    3.721027773   -1.397238056
     1       4     0.15338    -0.46138     0.15462    4.222320621    2.746711241   -1.475609380
     1       4    -0.00062    -0.30738     0.00062    4.542654458    3.115467867   -1.427186591
     1       4    -0.15462    -0.15338     0.15462    5.700105574    4.352380588   -1.347724986
     1       4    -0.30862     0.00062     0.00062    4.535073927    3.114194074   -1.420879854
     1       4    -0.46261     0.15462    -0.15338    4.218779304    2.745034999   -1.473744305
     1       4    -0.00062    -0.30738     0.30862    5.118265357    3.720356227   -1.397909130
     1       4    -0.00062     0.00062     0.30862    4.535074032    3.114039045   -1.421034987
     1       4    -0.15462     0.15462     0.15462    5.693670083    4.349324311   -1.344345772
     1       4    -0.30862     0.30862     0.00062    5.113231393    3.718573308   -1.394658085
     1       4     0.15338    -0.15338     0.46261    4.215688521    2.743726875   -1.471961646
     1       4     0.15338     0.15462     0.46261    4.218779204    2.745090603   -1.473688601
     1       4    -0.00062     0.30862     0.30862    5.113231238    3.718942055   -1.394289183
     1       4    -0.15462     0.46261     0.15462    4.221966323    2.749977900   -1.471988423
     1       4     0.30738     0.00062     0.61661    2.529276758    0.954810766   -1.574465992
     1       4    -0.30862    -0.30738     0.00062    5.118265186    3.720191524   -1.398073661
     1       4    -0.46261    -0.15338    -0.15338    4.215688435    2.743947918   -1.471740517
     1       4    -0.61661     0.00062    -0.30738    2.529276836    0.954297868   -1.574978968
     1       4    -0.15462    -0.46138     0.15462    4.225502667    2.749444714   -1.476057953
     1       4    -0.30862    -0.30738     0.30862    5.252714765    3.843630476   -1.409084289
     1       4    -0.46261    -0.15338     0.15462    4.218779374    2.745884172   -1.472895202
     1       4    -0.61661     0.00062     0.00062    3.560512942    2.013450405   -1.547062537
     1       4     0.46138     0.15462    -0.15338    4.222320245    2.746817322   -1.475502922
     1       4    -0.15462    -0.15338     0.46261    4.218779264    2.746070316   -1.472708948
     1       4    -0.30862     0.00062     0.30862    5.113230709    3.717982970   -1.395247739
     1       4    -0.46261     0.15462     0.15462    4.221966792    2.748994887   -1.472971905
     1       4    -0.00062    -0.30738     0.61661    2.529276998    0.954791828   -1.574485170
     1       4    -0.00062     0.00062     0.61661    3.560513010    2.013242911   -1.547270100
     1       4    -0.15462     0.15462     0.46261    4.221966896    2.748961756   -1.473005140
     1       4    -0.30862     0.30862     0.30862    5.252751683    3.845258112   -1.407493570
     1       4     0.15338    -0.15338    -0.46138    4.219233229    2.745411832   -1.473821397
     1       4     0.15338     0.15462    -0.46138    4.222320137    2.746603209   -1.475716928
